cluster_id,gis_join,is_center
31,G4601370,false
31,G3800010,false
31,G4600410,false
31,G3000410,false
31,G3100710,false
31,G4600630,false
31,G3000050,false
31,G3800530,false
31,G3101030,false
31,G3800410,false
31,G3800330,false
31,G3000830,false
31,G3800250,false
31,G3000710,true
31,G3000850,false
31,G3800870,false
31,G4601050,false
31,G3000550,false
31,G3800070,false
31,G4600950,false
31,G3001050,false
31,G3800890,false
31,G3000790,false
31,G4600550,false
31,G4601210,false
31,G3800110,false
31,G3000250,false
31,G3000190,false
31,G3000210,false
31,G3001090,false
31,G4600710,false
31,G4600310,false
31,G3101490,false
31,G3800370,false
53,G3600110,false
53,G3600890,false
53,G3900770,false
53,G5000110,false
53,G3901510,false
53,G2600150,false
53,G2600210,false
53,G3901030,false
53,G2600770,false
53,G3600750,false
53,G0201000,false
53,G3600670,false
53,G2601010,false
53,G2601650,false
53,G3900910,false
53,G2600610,false
53,G3600630,false
53,G2601050,false
53,G2600550,false
53,G2600050,false
53,G3600510,false
53,G2601590,false
53,G3900070,false
53,G3600690,false
53,G2600850,false
53,G2600190,false
53,G3900350,true
53,G3600190,false
53,G3901330,false
53,G2601230,false
53,G3601170,false
53,G2600270,false
53,G3901690,false
53,G2600830,false
53,G2300030,false
53,G3901530,false
53,G3900850,false
53,G2600790,false
53,G3600450,false
53,G2600030,false
53,G3600290,false
53,G3600730,false
53,G3600370,false
53,G3600650,false
53,G3600990,false
53,G2600950,false
53,G3900550,false
53,G3901390,false
53,G3901170,false
53,G3900930,false
53,G1801410,false
53,G4200490,false
53,G3901550,false
53,G2601270,false
53,G3900050,false
53,G2600890,false
53,G3900430,false
53,G3600550,false
53,G2600090,false
53,G3900330,false
53,G3900210,false
34,G2101230,false
34,G2901860,false
34,G1701630,false
34,G1701510,false
34,G1801630,false
34,G2101770,false
34,G2101490,false
34,G1700550,false
34,G1700270,false
34,G1701810,false
34,G1800250,false
34,G1701890,false
34,G2900510,false
34,G1700870,false
34,G2901830,false
34,G2100550,false
34,G2100270,false
34,G2100870,false
34,G1700650,false
34,G2101070,false
34,G2102130,false
34,G2100470,false
34,G1701910,false
34,G1700250,false
34,G2001250,false
34,G2100310,false
34,G1700810,false
34,G1700470,false
34,G1701010,false
34,G2100850,false
34,G2000210,false
34,G2100090,false
34,G4001150,false
34,G2901570,true
34,G1701990,false
34,G1701650,false
34,G1701330,false
34,G2101110,false
34,G2100590,false
34,G1800510,false
34,G2101710,false
34,G1701590,false
34,G4700270,false
34,G1801230,false
34,G2901510,false
34,G1800830,false
34,G1801730,false
34,G1801290,false
34,G2101390,false
34,G2101690,false
34,G2102190,false
34,G2100930,false
34,G2100570,false
34,G2100010,false
34,G2101830,false
34,G2900990,false
34,G2101010,false
34,G2100330,false
34,G2900310,false
34,G4700870,false
34,G2001330,false
34,G2901230,false
34,G2901890,false
34,G1701270,false
34,G1701930,false
34,G1701850,false
34,G2102270,false
34,G2905100,false
34,G2100290,false
34,G2102330,false
34,G1800610,false
34,G1801470,false
34,G4701110,false
34,G1701450,false
34,G4701470,false
34,G1700770,false
34,G2101630,false
34,G1701190,false
34,G2100610,false
34,G2101410,false
34,G1700690,false
34,G1701210,false
34,G2000990,false
34,G1701570,false
34,G4701650,false
34,G2900710,false
34,G2100990,false
34,G1700590,false
34,G2100910,false
34,G2002050,false
34,G2102250,false
34,G1801250,false
34,G2101790,false
34,G1800370,false
34,G2100030,false
28,G0800150,false
28,G0800470,false
28,G0801190,false
28,G0801050,false
28,G0800910,false
28,G0800650,false
28,G0801110,false
28,G0800790,false
28,G0801170,false
28,G0800930,false
28,G0800190,true
28,G0800510,false
28,G0800210,false
28,G0800570,false
28,G0801090,false
28,G0800370,false
28,G0800490,false
28,G0800970,false
28,G0800530,false
26,G1900630,false
26,G2700150,false
26,G2700310,false
26,G1901870,false
26,G1900810,false
26,G2701390,false
26,G2700970,false
26,G2700750,false
26,G2701470,false
26,G2700910,false
26,G2700370,false
26,G2700850,false
26,G2700030,false
26,G2700570,false
26,G2701030,false
26,G5500950,false
26,G2701230,false
26,G2700950,false
26,G2701210,false
26,G2700590,false
26,G5500070,false
26,G1901970,false
26,G1901950,false
26,G1900690,false
26,G2700190,false
26,G1900330,false
26,G1900910,false
26,G2700470,false
26,G1900890,false
26,G1901910,false
26,G2701430,false
26,G1901470,false
26,G5500930,false
26,G2700250,false
26,G2700930,false
26,G2701650,false
26,G5501190,false
26,G2701450,true
26,G2700650,false
26,G2700350,false
26,G5500130,false
26,G2700410,false
26,G2700990,false
26,G2700070,false
26,G2700130,false
26,G2700450,false
26,G2700010,false
26,G2700490,false
26,G2701270,false
26,G1901090,false
26,G2701510,false
26,G2700710,false
26,G2701630,false
26,G1901890,false
26,G2700790,false
26,G2700210,false
26,G5501070,false
26,G2701310,false
26,G2701410,false
26,G5501090,false
26,G2700170,false
26,G2701710,false
26,G2700530,false
26,G2701610,false
26,G1901510,false
26,G5500050,false
26,G1900830,false
26,G2701570,false
26,G2700610,false
26,G2700090,false
26,G2700390,false
26,G2701290,false
26,G2701590,false
26,G2701530,false
26,G5501130,false
26,G1901310,false
26,G2700430,false
26,G2700230,false
26,G2701150,false
26,G2701690,false
26,G5501290,false
26,G2700670,false
26,G2701090,false
